Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,298 292,10 496,4 346,174,Community transmission,0
Nigeria,33 616,463,754,10,Community transmission,0
Ghana,24 988,0,139,0,Community transmission,1
Algeria,20 216,527,1 028,10,Community transmission,0
Cameroon,15 173,0,359,0,Community transmission,2
Côte d’Ivoire,13 037,165,87,3,Community transmission,0
Kenya,10 791,497,202,5,Community transmission,0
Senegal,8 243,45,150,0,Community transmission,0
Ethiopia,8 181,212,146,7,Community transmission,0
Democratic Republic of the Congo,8 134,60,189,0,Community transmission,0
Guinea,6 200,30,38,0,Community transmission,0
Gabon,5 942,0,46,0,Community transmission,4
Mauritania,5 446,91,149,2,Clusters of cases,0
Madagascar,5 343,263,39,2,Clusters of cases,0
Central African Republic,4 321,0,53,0,Community transmission,1
Malawi,2 497,67,40,1,Clusters of cases,0
Mali,2 423,11,121,0,Community transmission,0
Congo,2 358,136,48,1,Community transmission,0
Zambia,2 283,0,82,0,Community transmission,1
South Sudan,2 153,5,41,0,Clusters of cases,0
Guinea-Bissau,1 902,0,26,0,Community transmission,1
Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,1 780,58,19,0,Clusters of cases,0
Sierra Leone,1 651,9,64,1,Community transmission,0
Benin,1 463,85,28,2,Community transmission,0
Eswatini,1 434,45,20,0,Clusters of cases,0
Rwanda,1 416,38,4,0,Sporadic cases,0
Mozambique,1 268,49,9,0,Clusters of cases,0
Niger,1 099,0,68,0,Community transmission,4
Zimbabwe,1 064,30,20,1,Sporadic cases,0
Equatorial Guinea,1 043,0,12,0,Community transmission,52
Uganda,1 040,11,0,0,Sporadic cases,0
Liberia,1 038,14,51,0,Community transmission,0
Burkina Faso,1 037,1,53,0,Community transmission,0
Chad,884,4,75,0,Community transmission,0
Namibia,864,3,2,1,Sporadic cases,0
Togo,731,11,15,0,Community transmission,0
Angola,541,16,26,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,68
Sao Tome and Principe,416,4,12,0,Clusters of cases,0
Botswana,399,0,1,0,Clusters of cases,2
Mauritius,343,0,10,0,Clusters of cases,1
Comoros,321,4,7,0,Community transmission,0
Burundi,269,0,1,0,Clusters of cases,1
